id,WELL,DEPTH,SP,GR,AC,label
37467,2010,1539.88,44.61,130.29,331.17,2
1626,2,1423.13,60.36,155.13,407.27,2
5713,2,1934.0,58.36,164.39,383.68,2
36743,2010,1434.25,40.77,86.47,322.09,0
16286,2,3255.63,60.61,172.0,250.97,2
12632,2,2798.88,62.82,174.59,276.59,2
36063,298,2192.75,49.62,137.87,283.77,0
33281,298,1787.12,48.75,124.23,302.85,2
19351,146,758.7,29.6,70.17,366.66,0
10934,2,2586.63,61.03,141.37,216.69,0
30622,146,2763.06,54.6,164.42,276.65,2
24408,146,1658.16,50.12,141.05,326.63,2
33048,298,1753.25,41.14,75.44,252.48,0
14787,2,3068.25,59.73,164.75,236.54,0
35682,298,2137.38,50.75,117.52,281.87,2
37380,2010,1527.25,43.79,121.5,333.51,2
8469,2,2278.5,73.11,237.08,252.31,2
26992,146,2117.8,49.57,113.66,244.21,2
4957,2,1839.5,62.78,236.46,339.89,2
538,2,1287.13,44.18,106.74,334.99,0
30593,146,2758.03,53.16,149.84,230.7,2
7879,2,2204.75,71.36,172.51,277.17,0
7222,2,2122.63,66.76,134.27,267.79,2
9577,2,2417.0,65.08,207.94,267.35,2
4639,2,1799.75,61.93,155.57,347.09,2
7283,2,2130.25,65.65,125.12,245.44,0
36254,298,2220.75,49.66,158.62,339.75,2
30709,146,2778.61,41.2,111.3,210.86,1
16619,2,3297.25,59.41,163.24,226.57,2
3664,2,1677.88,61.93,144.75,335.19,2
27047,146,2127.55,44.3,90.93,237.49,2
15829,2,3198.5,59.25,188.78,226.53,2
14565,2,3040.5,56.37,159.98,223.25,0
31728,298,1561.0,47.99,133.13,332.69,2
15318,2,3134.63,52.96,172.63,203.94,2
16128,2,3235.88,58.84,174.98,221.82,2
8789,2,2318.5,77.41,167.61,300.73,2
14839,2,3074.75,58.63,211.0,224.34,2
14457,2,3027.0,60.62,161.18,215.82,2
14978,2,3092.13,60.17,169.65,238.74,2
21066,146,1063.8,51.47,120.22,329.24,0
29459,146,2556.26,52.95,139.29,244.17,1
4361,2,1765.0,62.76,121.85,269.96,2
33147,298,1767.5,42.46,103.89,262.77,2
16805,146,306.07,63.06,58.38,366.33,1
13663,2,2927.75,61.18,134.44,241.46,2
9271,2,2378.75,75.08,184.77,288.08,2
20065,146,885.8,49.39,117.71,356.27,0
10159,2,2489.75,66.08,97.06,226.5,0
32869,298,1727.0,44.14,80.45,291.26,2
23940,146,1574.95,42.95,109.54,273.48,1
2510,2,1533.63,60.92,146.64,312.17,1
17700,146,465.33,48.16,52.82,404.65,1
29542,146,2571.19,52.58,140.17,244.66,2
37816,2010,1590.75,49.52,160.36,364.05,2
27957,146,2289.25,48.92,150.16,228.84,2
24113,146,1605.89,32.24,88.27,288.62,1
34610,298,1980.62,49.92,143.86,300.2,2
29756,146,2609.14,52.05,140.19,254.88,2
17492,146,428.14,51.64,81.34,460.68,1
18325,146,576.12,44.67,59.28,396.34,0
32399,298,1658.62,48.38,118.84,340.82,0
12735,2,2811.75,62.01,168.25,249.19,2
22812,146,1374.39,52.63,109.05,285.88,0
20655,146,990.8,50.02,140.01,341.55,2
24588,146,1690.32,52.24,121.89,289.92,2
24241,146,1628.44,52.26,169.43,343.35,2
29178,146,2506.27,53.05,152.44,275.39,1
2106,2,1483.13,63.05,143.65,299.7,0
18839,146,668.02,45.86,111.18,424.42,0
31979,298,1597.5,49.57,154.85,330.98,2
9458,2,2402.13,74.41,152.13,272.38,0
27232,146,2160.47,52.25,126.13,260.52,2
3995,2,1719.25,52.81,85.36,263.33,0
8589,2,2293.5,75.69,155.08,282.57,2
4455,2,1776.75,62.1,139.96,305.49,2
12120,2,2734.88,46.14,119.2,240.31,0
8308,2,2258.38,74.8,208.45,274.43,0
28112,146,2316.99,38.35,104.77,220.81,1
32282,298,1641.62,48.48,126.54,327.89,2
25513,146,1854.76,41.98,137.9,259.47,1
21989,146,1227.94,52.68,146.63,376.9,0
34521,298,1967.75,48.19,122.92,294.3,2
23933,146,1573.73,48.75,139.8,296.18,1
3092,2,1606.38,62.26,135.86,297.22,2
7622,2,2172.63,71.41,142.1,277.81,2
27003,146,2119.78,45.63,72.44,227.82,1
20333,146,933.65,50.48,143.99,412.26,2
1928,2,1460.88,60.69,154.73,350.8,2
18081,146,532.69,49.3,116.57,397.77,2
28699,146,2421.23,52.09,157.5,279.73,2
21409,146,1125.07,51.55,121.51,312.27,2
2973,2,1591.5,62.24,136.82,293.91,2
6566,2,2040.63,61.79,145.06,303.52,2
17166,146,370.23,53.17,67.27,410.28,2
32153,298,1622.88,48.31,127.17,310.04,0
4539,2,1787.25,61.37,148.52,335.29,2
38201,2010,1647.0,45.69,121.92,272.19,0
28176,146,2328.27,52.36,154.71,334.48,1
4036,2,1724.38,51.8,80.82,255.07,0
32336,298,1649.5,51.0,110.73,365.86,0
35451,298,2103.75,48.96,118.43,286.75,2
27644,146,2233.78,20.75,104.9,246.5,1
853,2,1326.5,61.85,145.75,395.38,2
17988,146,516.23,51.41,88.39,415.78,2
4541,2,1787.5,61.54,148.52,329.36,2
31050,298,1461.62,45.06,96.93,288.83,0
8601,2,2295.0,75.54,154.72,276.39,2
21950,146,1220.93,51.63,122.48,295.1,2
10019,2,2472.25,70.38,152.9,288.38,2
18159,146,546.56,49.83,118.93,498.03,2
28359,146,2360.88,51.72,168.39,230.85,2
14579,2,3042.25,59.03,141.55,226.91,0
12964,2,2840.38,61.59,197.27,242.53,2
29882,146,2631.54,51.9,139.3,246.03,1
1078,2,1354.63,59.64,90.64,274.4,0
25723,146,1892.1,44.7,116.82,252.14,1
29594,146,2580.34,53.72,137.68,242.46,1
33397,298,1804.25,49.39,139.01,284.83,2
19138,146,721.21,39.86,93.77,379.23,2
12368,2,2765.88,62.98,177.28,229.55,2
13499,2,2907.25,61.97,184.7,236.2,2
33799,298,1863.0,43.49,167.73,331.7,2
10135,2,2486.75,67.14,127.31,242.08,2
36984,2010,1469.38,47.16,137.09,361.82,2
7969,2,2216.0,71.68,164.77,306.35,2
8590,2,2293.63,75.62,153.27,285.33,2
4200,2,1744.88,51.87,122.11,256.5,0
15316,2,3134.38,54.44,194.69,226.18,2
22251,146,1274.57,33.17,115.98,320.95,0
21718,146,1179.93,50.69,99.17,269.52,2
8728,2,2310.88,75.14,152.06,266.08,0
32054,298,1608.5,45.18,133.68,280.02,2
37461,2010,1539.0,45.34,122.11,301.22,2
25262,146,1810.11,51.82,116.3,313.0,2
4372,2,1766.38,63.7,125.87,276.21,2
12344,2,2762.88,62.22,184.85,241.2,2
10622,2,2547.63,67.63,148.89,281.53,2
7684,2,2180.38,70.45,151.24,302.36,2
31555,298,1535.62,48.59,120.82,339.51,2
26243,146,1984.6,53.09,136.26,327.37,2
26970,146,2113.99,37.11,65.41,232.68,1
17198,146,375.87,56.59,62.5,454.27,1
16679,2,3304.75,54.56,145.34,191.49,1
8198,2,2244.63,72.81,200.93,239.03,2
9586,2,2418.13,58.45,117.07,241.09,2
26384,146,2009.6,42.33,167.37,274.62,1
22333,146,1289.2,37.18,61.38,300.49,0
9886,2,2455.63,71.83,184.2,319.62,2
33209,298,1776.62,44.2,101.53,279.22,2
24658,146,1702.82,43.0,95.0,261.9,2
34924,298,2026.75,46.95,115.44,338.42,2
26666,146,2059.74,49.76,129.68,235.25,2
29131,146,2497.89,47.61,83.02,212.8,1
18152,146,545.19,48.61,80.26,375.76,2
3435,2,1649.25,60.32,156.92,328.05,2
34834,298,2013.5,46.74,144.37,309.94,2
20506,146,964.44,49.26,107.24,339.63,2
13372,2,2891.38,61.47,160.63,228.84,2
34504,298,1965.38,48.99,128.98,287.74,2
30101,146,2670.56,48.21,174.36,229.66,2
28387,146,2365.76,53.18,158.94,273.4,2
35061,298,2046.75,46.53,110.38,305.29,2
33771,298,1858.88,48.17,137.72,377.13,2
6294,2,2006.63,64.71,143.01,288.1,2
22505,146,1319.83,49.66,84.23,285.81,0
31416,298,1515.12,46.89,106.84,314.89,2
26855,146,2093.42,52.27,164.14,254.77,2
36716,298,2288.38,45.42,117.23,243.38,0
14475,2,3029.25,61.45,176.06,234.11,2
27142,146,2144.47,53.2,123.39,288.43,2
27941,146,2286.51,43.66,101.48,221.05,1
4879,2,1829.75,62.67,165.45,366.34,2
667,2,1303.25,63.11,121.37,324.29,0
17152,146,367.64,53.98,57.58,459.11,1
15876,2,3204.38,58.52,199.94,239.98,2
33538,298,1825.0,33.37,59.32,302.16,0
31451,298,1520.38,46.23,108.75,297.35,2
16475,2,3279.25,54.68,121.64,194.11,1
12961,2,2840.0,61.62,196.61,242.98,2
18798,146,660.71,43.36,76.97,338.4,0
33234,298,1780.25,44.34,109.92,285.52,2
10950,2,2588.63,61.3,154.03,221.35,0
31138,298,1474.62,44.96,100.15,296.66,0
5729,2,1936.0,57.76,169.18,371.9,2
4499,2,1782.25,63.13,140.25,309.17,2
28525,146,2390.29,22.62,143.8,239.89,1
21561,146,1151.89,51.89,121.5,354.08,2
26456,146,2022.4,52.61,131.56,280.93,1
11356,2,2639.38,58.3,163.4,210.28,0
982,2,1342.63,61.64,127.15,311.48,0
14126,2,2985.63,61.87,179.78,247.55,2
9104,2,2357.88,65.46,111.69,255.31,0
19080,146,710.69,46.88,109.06,329.27,0
9761,2,2440.0,72.45,181.5,284.42,2
30345,146,2713.99,49.13,181.14,242.92,2
32622,298,1691.25,46.67,128.82,318.44,2
4440,2,1774.88,63.09,142.69,302.72,2
7269,2,2128.5,65.56,134.35,249.71,0
13522,2,2910.13,61.67,176.24,224.36,2
21065,146,1063.65,51.53,130.02,341.87,0
13710,2,2933.63,62.12,216.69,252.37,2
23575,146,1510.18,40.53,92.8,279.21,1
24799,146,1727.81,52.58,111.36,268.84,2
6053,2,1976.5,62.3,153.71,343.42,2
20257,146,920.09,50.32,87.56,288.82,0
30191,146,2686.56,31.05,82.47,209.69,1
17489,146,427.69,51.73,80.76,460.69,1
815,2,1321.75,58.8,145.38,334.34,2
35047,298,2044.75,46.12,112.12,284.18,2
18537,146,613.92,39.62,63.94,359.63,0
25349,146,1825.65,51.12,116.97,258.11,2
19346,146,757.94,31.58,80.17,358.12,0
2873,2,1579.0,50.93,81.07,248.03,0
15926,2,3210.63,60.1,222.28,234.04,2
17912,146,502.97,46.14,56.24,390.15,1
5143,2,1862.75,62.42,173.34,322.82,2
35385,298,2094.12,43.26,96.54,260.15,2
1772,2,1441.38,61.77,151.43,360.32,0
13842,2,2950.13,61.7,166.48,239.46,2
8407,2,2270.75,75.59,161.98,323.61,0
7157,2,2114.5,52.69,75.69,241.32,0
36569,298,2266.75,51.06,134.77,288.73,0
713,2,1309.0,61.57,136.4,320.6,2
32216,298,1632.0,35.53,119.52,298.19,2
19515,146,787.96,40.19,92.18,351.93,0
18465,146,601.12,49.7,107.99,434.0,2
28099,146,2314.55,23.52,124.95,227.98,2
22637,146,1343.31,45.88,104.24,312.33,0
15087,2,3105.75,58.92,173.85,216.25,0
20010,146,876.2,48.35,137.15,330.38,2
33809,298,1864.38,44.96,168.17,327.47,2
18207,146,554.94,45.23,61.04,376.34,1
7896,2,2206.88,71.21,193.28,275.37,2
36246,298,2219.62,47.6,148.37,313.19,2
31334,298,1503.25,49.53,90.39,284.98,2
3712,2,1683.88,62.37,122.43,273.14,0
27260,146,2165.35,45.56,82.46,228.5,1
3917,2,1709.5,61.25,132.77,341.8,2
29753,146,2608.53,52.15,147.2,250.72,2
12752,2,2813.88,62.98,164.09,245.46,2
28487,146,2383.59,24.68,150.04,215.39,1
34056,298,1900.38,50.36,144.33,378.58,2
15359,2,3139.75,56.3,153.6,197.18,0
8167,2,2240.75,70.79,179.12,225.32,0
10427,2,2523.25,66.76,152.66,239.16,2
24804,146,1728.72,52.9,110.92,279.67,2
37593,2010,1558.25,48.19,150.62,342.69,2
34487,298,1962.88,49.65,133.33,316.66,0
9637,2,2424.5,59.55,87.14,240.8,0
32102,298,1615.5,50.98,169.28,327.21,2
30543,146,2749.04,55.66,155.97,265.68,2
33088,298,1758.88,48.54,119.75,320.14,2
17804,146,483.77,51.38,92.47,431.4,1
21656,146,1168.96,51.64,111.71,350.08,2
8558,2,2289.63,75.36,147.33,243.16,2
24700,146,1710.28,37.79,89.99,266.81,1
34269,298,1931.0,49.3,150.83,327.63,2
30057,146,2662.63,48.62,134.57,214.4,1
13753,2,2939.0,62.26,153.34,235.49,2
3338,2,1637.13,59.79,148.56,344.28,2
10260,2,2502.38,70.73,145.81,246.77,0
34171,298,1917.0,49.02,151.43,352.01,2
25387,146,1832.36,52.4,140.15,306.31,2
30488,146,2739.29,54.89,178.66,259.07,2
17783,146,479.96,50.9,129.23,482.17,2
7364,2,2140.38,67.0,121.89,257.2,0
37574,2010,1555.5,48.4,153.11,392.55,2
7378,2,2142.13,67.26,136.38,274.68,2
36208,298,2214.0,37.34,138.26,284.07,1
12278,2,2754.63,63.47,211.77,267.25,2
20454,146,955.14,37.9,90.32,341.72,0
9422,2,2397.63,75.46,158.79,292.98,2
30691,146,2775.25,53.96,164.04,227.91,2
27723,146,2247.65,40.72,157.75,247.82,2
3989,2,1718.5,48.05,89.53,272.02,0
18432,146,595.17,46.24,59.97,369.36,0
34039,298,1897.88,48.89,120.71,337.71,2
10690,2,2556.13,66.76,148.61,265.7,2
15702,2,3182.63,54.5,205.02,242.81,2
4242,2,1750.13,60.98,114.32,262.37,0
31925,298,1589.62,49.76,127.83,320.47,2
11529,2,2661.0,63.17,190.21,216.58,0
1789,2,1443.5,60.74,143.19,380.4,2
9416,2,2396.88,75.3,154.78,277.42,2
31501,298,1527.75,46.79,109.42,283.82,2
8386,2,2268.13,75.56,182.59,341.1,0
30965,146,2824.18,476.4,10.0,203.4,1
34029,298,1896.5,48.83,124.89,340.56,2
25357,146,1827.02,51.51,126.69,283.22,2
14225,2,2998.0,60.92,170.8,236.51,2
26634,146,2054.1,52.1,151.87,274.4,2
30038,146,2659.28,51.76,156.34,250.34,2
20821,146,1020.37,50.93,128.63,376.83,2
31999,298,1600.5,49.67,103.88,339.39,2
25913,146,1925.93,39.42,106.94,227.78,1
27172,146,2149.81,52.35,102.27,245.86,1
17218,146,379.38,52.99,72.44,427.94,1
26359,146,2005.33,35.54,124.49,264.19,1
23898,146,1567.48,39.32,99.59,272.08,1
13679,2,2929.75,62.29,164.48,240.95,2
9294,2,2381.63,74.43,170.36,303.89,2
18771,146,655.68,45.92,105.16,398.63,0
20128,146,897.08,48.89,115.24,325.78,0
16089,2,3231.0,59.14,196.77,219.96,2
33421,298,1807.75,49.72,113.78,269.92,2
17437,146,418.39,50.93,75.16,469.96,1
32029,298,1604.88,49.2,144.81,325.36,2
20261,146,920.85,49.67,108.63,316.39,0
20567,146,975.41,50.28,128.29,393.83,2
31529,298,1531.88,47.04,119.75,328.54,2
18907,146,680.21,45.27,102.85,370.51,0
28008,146,2298.4,45.89,155.84,232.82,1
21188,146,1085.6,51.65,124.19,363.26,2
34485,298,1962.62,49.27,125.65,278.23,0
6261,2,2002.5,66.03,142.71,263.51,2
27265,146,2166.26,50.48,117.54,249.96,2
568,2,1290.88,59.99,150.26,326.46,2
16652,2,3301.38,58.44,176.81,222.44,2
30029,146,2657.6,51.3,147.88,250.89,2
30152,146,2679.55,47.23,114.55,206.78,1
18981,146,693.17,44.95,87.2,374.3,0
30496,146,2740.66,52.67,196.26,261.23,2
16424,2,3272.88,59.8,189.04,243.57,2
28374,146,2363.62,53.52,147.37,256.58,2
12624,2,2797.88,63.44,165.69,276.28,2
2446,2,1525.63,62.93,155.01,361.33,0
21566,146,1152.81,52.08,118.1,364.51,2
16834,146,311.1,55.69,62.49,524.72,1
18400,146,589.38,42.23,62.63,348.74,0
8368,2,2265.88,76.05,146.45,294.8,0
18088,146,534.06,51.36,93.61,385.55,2
11688,2,2680.88,47.95,136.94,221.47,0
6206,2,1995.63,64.33,160.33,299.22,2
10931,2,2586.25,61.28,155.69,226.36,2
30500,146,2741.42,50.74,146.19,224.72,1
24842,146,1735.43,52.89,138.23,306.52,2
26422,146,2016.46,46.51,132.65,253.57,2
2827,2,1573.25,60.85,148.41,306.71,0
2981,2,1592.5,62.02,136.83,294.26,2
31236,298,1488.88,47.15,83.86,275.63,0
14129,2,2986.0,61.94,181.75,244.68,2
34096,298,1906.12,40.68,72.66,277.96,0
34920,298,2026.12,47.3,117.04,323.15,2
22743,146,1362.2,53.92,100.98,311.16,0
10126,2,2485.63,67.52,122.91,221.8,0
13132,2,2861.38,62.3,165.36,254.27,2
16216,2,3246.88,58.38,152.52,206.24,0
35513,298,2112.62,46.95,111.85,309.0,2
32148,298,1622.12,49.17,144.37,337.8,2
33008,298,1747.38,50.03,101.45,264.18,2
12409,2,2771.0,61.5,196.29,261.76,2
29224,146,2514.5,53.0,183.68,290.1,2
10916,2,2584.38,62.4,139.8,220.01,2
37610,2010,1560.62,48.74,155.61,340.48,2
2398,2,1519.63,60.84,184.29,388.38,0
1098,2,1357.13,63.46,122.05,301.4,0
10674,2,2554.13,66.92,151.92,269.92,2
16281,2,3255.0,60.58,166.71,252.7,2
18998,146,696.21,48.47,115.36,383.59,2
546,2,1288.13,53.55,123.39,303.81,2
35867,298,2164.12,48.15,120.84,304.04,2
16705,2,3308.0,60.05,156.8,232.2,2
26811,146,2085.65,53.89,138.35,254.58,1
4145,2,1738.0,59.2,147.84,329.36,2
20857,146,1026.77,50.65,162.55,403.7,2
25842,146,1913.28,51.76,113.06,292.42,1
36686,298,2283.88,45.4,104.93,260.03,0
21816,146,1197.31,49.51,99.18,292.98,0
20696,146,998.27,43.25,122.32,350.81,0
23223,146,1447.55,53.66,114.36,311.0,2
18624,146,629.46,48.06,85.59,362.49,2
25825,146,1910.23,53.13,129.9,295.59,1
23351,146,1470.41,53.76,106.89,323.89,2
8890,2,2331.13,71.41,138.63,228.48,0
24497,146,1674.01,37.35,56.43,268.87,1
15173,2,3116.5,59.77,176.38,240.58,2
17455,146,421.59,52.62,73.16,449.02,1
33116,298,1763.0,47.37,109.33,289.44,2
32708,298,1703.62,50.03,118.82,325.64,2
4422,2,1772.63,62.96,126.91,304.38,2
21164,146,1081.33,51.67,112.98,306.32,2
37759,2010,1582.5,51.18,167.34,404.24,2
33604,298,1834.62,49.35,125.14,318.05,2
215,2,1246.75,62.58,132.87,340.36,0
31168,298,1479.0,45.8,126.64,354.49,2
5929,2,1961.0,61.15,174.38,331.57,2
17367,146,406.05,55.54,68.83,468.45,1
9977,2,2467.0,72.23,164.99,332.29,2
35897,298,2168.5,50.87,137.05,299.7,2
4961,2,1840.0,63.25,185.49,306.82,2
29056,146,2484.63,48.42,154.63,237.23,2
5247,2,1875.75,60.02,186.15,380.27,2
35548,298,2117.75,47.0,112.41,307.67,2
26421,146,2016.3,45.16,114.63,245.29,2
21995,146,1229.01,52.65,132.61,365.81,0
511,2,1283.75,55.59,126.41,304.43,0
2054,2,1476.63,59.97,148.11,340.85,2
23050,146,1416.76,51.78,71.03,234.68,0
20072,146,887.17,49.69,107.8,339.11,0
14862,2,3077.63,58.86,160.43,218.05,0
8476,2,2279.38,73.44,144.8,250.61,2
28697,146,2420.93,52.12,158.48,280.37,2
9729,2,2436.0,72.26,201.82,261.0,2
7236,2,2124.38,65.37,97.62,238.15,0
25239,146,1805.99,52.35,114.52,269.18,2
33071,298,1756.5,49.63,109.28,270.96,2
26921,146,2105.15,53.36,148.51,349.43,2
8454,2,2276.63,72.08,168.57,254.59,0
10233,2,2499.0,69.52,131.12,238.02,0
34401,298,1950.25,49.09,120.32,286.56,2
6308,2,2008.38,64.7,139.84,274.34,2
14769,2,3066.0,59.11,159.24,228.08,0
20788,146,1014.58,45.04,81.53,278.67,2
16720,2,3309.88,59.65,153.82,231.18,2
14408,2,3020.88,55.0,121.23,187.25,1
9154,2,2364.13,73.79,210.12,263.83,0
941,2,1337.5,60.84,141.83,345.1,2
4546,2,1788.13,62.1,146.34,315.92,2
12832,2,2823.88,61.02,172.04,277.02,2
10357,2,2514.5,69.24,156.26,297.74,2
20778,146,1012.75,50.64,110.0,351.06,2
6986,2,2093.13,63.58,145.97,298.88,2
26085,146,1956.56,52.24,138.1,306.33,2
5649,2,1926.0,57.77,203.34,364.7,2
31095,298,1468.25,46.67,106.62,288.38,2
31247,298,1490.38,46.71,80.65,297.74,0
98,2,1232.13,63.57,138.69,318.97,2
10575,2,2541.75,68.22,157.53,273.39,2
25566,146,1864.21,52.56,128.94,322.43,1
37106,2010,1487.25,50.34,164.71,358.46,2
7725,2,2185.5,68.51,124.82,263.28,0
12136,2,2736.88,53.87,140.05,212.24,0
7704,2,2182.88,69.1,98.11,216.03,0
31046,298,1461.0,46.15,110.98,314.42,2
19714,146,823.47,49.2,121.01,397.82,0
15661,2,3177.5,59.77,168.76,241.74,2
5007,2,1845.75,60.96,207.93,350.26,2
16215,2,3246.75,58.56,171.52,213.26,0
12651,2,2801.25,58.73,184.44,272.12,2
22104,146,1248.51,46.62,97.38,288.46,0
2804,2,1570.38,61.53,151.91,338.51,2
28485,146,2383.28,19.94,108.97,205.52,1
17999,146,518.21,48.96,75.3,406.72,2
1011,2,1346.25,59.6,143.07,344.58,2
1337,2,1387.0,44.42,89.14,320.07,0
16191,2,3243.75,59.22,152.24,235.82,2
1267,2,1378.25,33.34,84.37,307.16,0
21206,146,1088.8,51.74,115.39,357.61,2
15627,2,3173.25,55.52,153.19,198.3,1
33520,298,1822.38,39.62,76.08,264.63,0
12797,2,2819.5,60.88,190.79,273.27,2
19529,146,790.55,48.6,118.77,406.12,2
20620,146,984.71,36.41,73.63,326.32,0
27834,146,2267.46,30.23,133.13,239.88,1
